schema,KPI_Label,Formula,KPI_Name,Properties_Key,report_name,Schema_Original,Description
apn,APN GGSN Uplink Packets Total Number,(%uplnk-pkts%),kpi_APN_GGSN_Uplink_Packets_Total_Number,wrnApnAggSentStatistics,StarOS APN Aggregate Interface Traffic Statistics,APN,APN GGSN Uplink Packets Total Number
apn,APN GGSN Downlink Packets Total Number,(%dnlnk-pkts%),kpi_APN_GGSN_Downlink_Packets_Total_Number,wrnApnAggSentStatistics,StarOS APN Aggregate Interface Traffic Statistics,APN,APN GGSN Downlink Packets Total Number
apn,APN IP Packets Received And Dropped - Bad Header,(%bad-hdr%),kpi_APN_IP_Packets_Received_And_Dropped_Bad_Header,wrnApnAggIpPacketsDropped,StarOS APN Aggregate IP Packets Dropped Statistics,APN,APN IP Packets Received And Dropped - Bad Header
apn,APN IP Packets Received And Dropped - ACL Filtering,(%ttl-excd%),kpi_APN_IP_Packets_Received_And_Dropped_ACL_Filtering,wrnApnAggIpPacketsDropped,StarOS APN Aggregate IP Packets Dropped Statistics,APN,APN IP Packets Received And Dropped - ACL Filtering
apn,APN IP Packets Received And Dropped - TTL Value Of 0,(%inacl-drop%),kpi_APN_IP_Packets_Received_And_Dropped_TTL_Value_Of_0,wrnApnAggIpPacketsDropped,StarOS APN Aggregate IP Packets Dropped Statistics,APN,APN IP Packets Received And Dropped - TTL Value Of 0
apn,APN Outbound IP Packets Dropped - ACL Filtering,(%outacl-drop%),kpi_APN_Outbound_IP_Packets_Dropped_ACL_Filtering,wrnApnAggIpPacketsDropped,StarOS APN Aggregate IP Packets Dropped Statistics,APN,APN Outbound IP Packets Dropped - ACL Filtering
apn,APN Source Violation Detected - Packets Dropped,(%bad-src-addr%),kpi_APN_Source_Violation_Detected_Packets_Dropped,wrnApnAggIpPacketsDropped,StarOS APN Aggregate IP Packets Dropped Statistics,APN,APN Source Violation Detected - Packets Dropped
apn,APN IP Packets Fragmented Before Sending On GTP Tunnel,(%frag-sent%),kpi_APN_IP_Packets_Fragmented_Before_Sending_On_GTP_Tunnel,wrnApnAggFragmentation,StarOS APN Aggregate IP Packets Fragmentation Statistics,APN,APN IP Packets Fragmented Before Sending On GTP Tunnel
apn,APN IP Packets Fragmentation Failed,(%frag-fail%),kpi_APN_IP_Packets_Fragmentation_Failed,wrnApnAggFragmentation,StarOS APN Aggregate IP Packets Fragmentation Statistics,APN,APN IP Packets Fragmentation Failed
apn,APN IPv4 PDP Contexts Requesting Dynamically Assigned IP Addresses,(%dyn-ipv4-attempt%),kpi_APN_IPv4_PDP_Contexts_Requesting_Dynamically_Assigned_IP_Addresses,wrnApnAggIpAdressStats,StarOS APN Aggregate IP PDP Contexts Request Statistics,APN,APN IPv4 PDP Contexts Requesting Dynamically Assigned IP Addresses
apn,APN IPv6 PDP Contexts Requesting Dynamically Assigned IP Addresses,(%dyn-ipv6-attempt%),kpi_APN_IPv6_PDP_Contexts_Requesting_Dynamically_Assigned_IP_Addresses,wrnApnAggIpAdressStats,StarOS APN Aggregate IP PDP Contexts Request Statistics,APN,APN IPv6 PDP Contexts Requesting Dynamically Assigned IP Addresses
apn,APN Active IPv4 Sessions,(%pdn-ipv4-actsess%),kpi_APN_Active_IPv4_Sessions,wrnApnAggIPv4Sessions,StarOS APN Aggregate IPv4 Sessions Statistics,APN,APN Active IPv4 Sessions
apn,APN Setup IPv4 Sessions,(%pdn-ipv4-setupsess%),kpi_APN_Setup_IPv4_Sessions,wrnApnAggIPv4Sessions,StarOS APN Aggregate IPv4 Sessions Statistics,APN,APN Setup IPv4 Sessions
apn,APN Released IPv4 Sessions,(%pdn-ipv4-relsess%),kpi_APN_Released_IPv4_Sessions,wrnApnAggIPv4Sessions,StarOS APN Aggregate IPv4 Sessions Statistics,APN,APN Released IPv4 Sessions
apn,APN Active IPv4-In-IPv6 Sessions,(%pdn-ipv4v6-actsess%),kpi_APN_Active_IPv4_In_IPv6_Sessions,wrnApnAggIPv4IPv6Sessions,StarOS APN Aggregate IPv4-In-IPv6 Sessions Statistics,APN,APN Active IPv4-In-IPv6 Sessions
apn,APN Setup IPv4-In-IPv6 Sessions,(%pdn-ipv4v6-setupsess%),kpi_APN_Setup_IPv4_In_IPv6_Sessions,wrnApnAggIPv4IPv6Sessions,StarOS APN Aggregate IPv4-In-IPv6 Sessions Statistics,APN,APN Setup IPv4-In-IPv6 Sessions
