report_name_key,report_name,schema
StarOS_KPI_APN_Total_Number_of_IPv4_Sessions_Setup,StarOS KPI APN Total Number of IPv4 Sessions Setup,apn
StarOS_KPI_APN_Total_Number_of_Default_Bearers_Setup,StarOS KPI APN Total Number of Default Bearers Setup,apn
StarOS_KPI_APN_Total_Number_of_Dedicated_Bearers_Setup,StarOS KPI APN Total Number of Dedicated Bearers Setup,apn
StarOS_KPI_APN_Total_Number_of_Active_IPv6_Sessions,StarOS KPI APN Total Number of Active IPv6 Sessions,apn
StarOS_KPI_APN_Total_Number_of_Active_IPv4_in_IPv6_Sessions,StarOS KPI APN Total Number of Active IPv4-in-IPv6 Sessions,apn
StarOS_KPI_APN_Total_Number_of_Active_IPv4_Sessions,StarOS KPI APN Total Number of Active IPv4 Sessions,apn
StarOS_KPI_APN_Subscriber_Success_Rate,StarOS KPI APN Subscriber Success Rate,apn
StarOS_KPI_APN_Percentage_of_Active_WLAN_Sessions,StarOS KPI APN Percentage of Active WLAN Sessions,apn
StarOS_KPI_APN_Percentage_of_Active_4G_Sessions,StarOS KPI APN Percentage of Active 4G Sessions,apn
StarOS_KPI_APN_Percentage_of_Active_3G_Sessions,StarOS KPI APN Percentage of Active 3G Sessions,apn
StarOS_KPI_APN_Packet_Drop_Ratio,StarOS KPI APN Packet Drop Ratio,apn
StarOS_KPI_APN_Default_Bearer_Subscriber_Success_Rate,StarOS KPI APN Default Bearer Subscriber Success Rate,apn
StarOS_KPI_APN_Dedicated_Bearer_Subscriber_Success_Rate,StarOS KPI APN Dedicated Bearer Subscriber Success Rate,apn
StarOS_KPI_APN_Bearer_Modification_Success_Rate,StarOS KPI APN Bearer Modification Success Rate,apn
StarOS_KPI_APN_Active_WLAN_Sessions,StarOS KPI APN Active WLAN Sessions,apn
StarOS_KPI_APN_Active_4G_Sessions,StarOS KPI APN Active 4G Sessions,apn
StarOS_KPI_APN_Active_3G_Sessions,StarOS KPI APN Active 3G Sessions,apn
StarOS_KPI_Accounting_Success_Rate_Ga_Interface,StarOS KPI Accounting Success Rate - Ga Interface,apn
StarOS_BCMCS_Security_Violations,StarOS BCMCS Security Violations,bcmcs
StarOS_BCMCS_Current_Sessions,StarOS BCMCS Current Sessions,bcmcs
StarOS_BCMCS_A11_BC_Service_Responses_by_PSDN_Stats,StarOS BCMCS A11-BC Service Responses by PSDN Stats,bcmcs
StarOS_BCMCS_A11_BC_Service_Requests_Denied_Stats,StarOS BCMCS A11-BC Service Requests Denied Stats,bcmcs
StarOS_BCMCS_A11_BC_Service_Requests_by_PSDN_Stats,StarOS BCMCS A11-BC Service Requests by PSDN Stats,bcmcs
StarOS_BCMCS_A11_BC_Service_Req_Denied_Insufficient,StarOS BCMCS A11-BC Service Req Denied Insufficient,bcmcs
StarOS_BCMCS_A11_BC_Service_Req_Denied_Bad_Request,StarOS BCMCS A11-BC Service Req Denied Bad Request,bcmcs
StarOS_BCMCS_A11_BC_Service_Error_Stats,StarOS BCMCS A11-BC Service Error Stats,bcmcs
StarOS_BCMCS_A11_BC_Renewal_Service_Requests_by_PSDN,StarOS BCMCS A11-BC Renewal Service Requests by PSDN,bcmcs
StarOS_BCMCS_A11_BC_Renewal_Registration_Requests,StarOS BCMCS A11-BC Renewal Registration Requests,bcmcs
StarOS_BCMCS_A11_BC_Registration_Updates_Stats,StarOS BCMCS A11-BC Registration Updates Stats,bcmcs
StarOS_BCMCS_A11_BC_Registration_Updates_PCF_Stats,StarOS BCMCS A11-BC Registration Updates - PCF Stats,bcmcs
StarOS_BCMCS_A11_BC_Registration_Update_Acks,StarOS BCMCS A11-BC Registration Update Acks,bcmcs
StarOS_BCMCS_A11_BC_Registration_Responses,StarOS BCMCS A11-BC Registration Responses,bcmcs
StarOS_BCMCS_A11_BC_Registration_Requests_Errors,StarOS BCMCS A11-BC Registration Requests Errors,bcmcs
StarOS_BCMCS_A11_BC_Registration_Requests_Denied,StarOS BCMCS A11-BC Registration Requests Denied,bcmcs
StarOS_BCMCS_A11_BC_Registration_Requests,StarOS BCMCS A11-BC Registration Requests,bcmcs
StarOS_BCMCS_A11_BC_Registration_Req_Denied_Resource,StarOS BCMCS A11-BC Registration Req Denied Resource,bcmcs
StarOS_BCMCS_A11_BC_Registration_Req_Denied_Congestion,StarOS BCMCS A11-BC Registration Req Denied Congestion,bcmcs
StarOS_BCMCS_A11_BC_Registration_Req_Denied_Bad_Req,StarOS BCMCS A11-BC Registration Req Denied - Bad Req,bcmcs
StarOS_BCMCS_A11_BC_Registration_Denied_Stats,StarOS BCMCS A11-BC Registration Denied Stats,bcmcs
StarOS_BCMCS_A11_BC_Registration_Acknowledges_Stats,StarOS BCMCS A11-BC Registration Acknowledges Stats,bcmcs
StarOS_BCMCS_A11_BC_Initial_Service_Requests_by_PSDN,StarOS BCMCS A11-BC Initial Service Requests by PSDN,bcmcs
StarOS_BCMCS_A11_BC_Initial_Registration_Requests,StarOS BCMCS A11-BC Initial Registration Requests,bcmcs
StarOS_BCMCS_A11_BC_Deregistration_Service_Requests,StarOS BCMCS A11-BC Deregistration Service Requests,bcmcs
StarOS_BCMCS_A11_BC_Deregistration_Errors,StarOS BCMCS A11-BC Deregistration Errors,bcmcs
StarOS_APN_PDP_Contexts_Statistics,StarOS APN PDP Contexts Statistics,apn
StarOS_APN_NAT_Pilot_Packets_Sent_Per_APN,StarOS APN NAT Pilot Packets Sent Per APN,apn
StarOS_APN_GGSN_Interface_Traffic_Statistics,StarOS APN GGSN Interface Traffic Statistics,apn
StarOS_APN_Dedicated_Bearers_Statistics,StarOS APN Dedicated Bearers Statistics,apn
StarOS_APN_Aggregate_User_Data_Pps_Statistics,StarOS APN Aggregate User Data Pps Statistics,apn
StarOS_APN_Aggregate_User_Data_Bps_Statistics,StarOS APN Aggregate User Data Bps Statistics,apn
StarOS_APN_Aggregate_Released_Bearers_Statistics,StarOS APN Aggregate Released Bearers Statistics,apn
StarOS_APN_Aggregate_Rejected_Bearers_Statistics,StarOS APN Aggregate Rejected Bearers Statistics,apn
StarOS_APN_Aggregate_QOS_Sent_Statistics,StarOS APN Aggregate QOS Sent Statistics,apn
StarOS_APN_Aggregate_QOS_Priority_Sent_Statistics,StarOS APN Aggregate QOS Priority Sent Statistics,apn
StarOS_APN_Aggregate_PDP_Contexts_Statistics,StarOS APN Aggregate PDP Contexts Statistics,apn
StarOS_APN_Aggregate_PDP_Contexts_Request_Statistics,StarOS APN Aggregate PDP Contexts Request Statistics,apn
StarOS_APN_Aggregate_PDP_Contexts_IP_Address_Statistics,StarOS APN Aggregate PDP Contexts IP Address Statistics,apn
StarOS_APN_Aggregate_Packets_Dropped_Data_Statistics,StarOS APN Aggregate Packets Dropped Data Statistics,apn
StarOS_APN_Aggregate_Modified_Bearers_Statistics,StarOS APN Aggregate Modified Bearers Statistics,apn
StarOS_APN_Aggregate_Miscellaneous_Statistics,StarOS APN Aggregate Miscellaneous Statistics,apn
StarOS_APN_Aggregate_IPv6_Sessions_Statistics,StarOS APN Aggregate IPv6 Sessions Statistics,apn
StarOS_APN_Aggregate_IPv4_In_IPv6_Sessions_Statistics,StarOS APN Aggregate IPv4-In-IPv6 Sessions Statistics,apn
StarOS_APN_Aggregate_IPv4_Sessions_Statistics,StarOS APN Aggregate IPv4 Sessions Statistics,apn
StarOS_APN_Aggregate_IP_PDP_Contexts_Request_Statistics,StarOS APN Aggregate IP PDP Contexts Request Statistics,apn
StarOS_APN_Aggregate_IP_Packets_Fragmentation_Statistics,StarOS APN Aggregate IP Packets Fragmentation Statistics,apn
StarOS_APN_Aggregate_IP_Packets_Dropped_Statistics,StarOS APN Aggregate IP Packets Dropped Statistics,apn
StarOS_APN_Aggregate_Interface_Traffic_Statistics,StarOS APN Aggregate Interface Traffic Statistics,apn
StarOS_APN_Aggregate_Interface_Dropped_Traffic_Statistics,StarOS APN Aggregate Interface Dropped Traffic Statistics,apn
StarOS_APN_Aggregate_Bytes_Dropped_Data_Statistics,StarOS APN Aggregate Bytes Dropped Data Statistics,apn
StarOS_APN_Aggregate_Bearers_Statistics,StarOS APN Aggregate Bearers Statistics,apn
StarOS_APN_Aggregate_Background_QOS_Sent_Statistics,StarOS APN Aggregate Background QOS Sent Statistics,apn
StarOS_APN_Aggregate_Authentication_Statistics,StarOS APN Aggregate Authentication Statistics,apn
StarOS_APN_Accounting_Statistics,StarOS APN Accounting Statistics,apn
